Teams,Points,Actual_Ranking,Massey_Rating,Massey_Scaled_Rating,Massey_Ranking,Keener_Rating,Keener_Scaled_Rating,Keener_Ranking
Manchester City,91,1,1.5500000000000003,100.0,2,0.07569977855212581,96.47071577942822,2
Arsenal,89,2,1.5500000000000005,100.0,1,0.07759175674508556,100.00000000000003,1
Liverpool,82,3,1.1250000000000002,87.02290076335878,3,0.07088541915449843,87.49004004149742,3
Aston Villa,68,4,0.3750000000000002,64.12213740458014,5,0.05997211679592717,67.13243446667785,4
Tottenham Hotspur,66,5,0.3250000000000003,62.595419847328245,7,0.05483122424168152,57.542645832290475,7
Chelsea,63,6,0.35000000000000026,63.358778625954194,6,0.057185894496133885,61.93503291402958,5
Newcastle United,60,7,0.5750000000000003,70.22900763358778,4,0.055744154120794885,59.24561948644393,6
Manchester United,60,8,-0.024999999999999713,51.908396946564885,9,0.05158563854611256,51.48835069056591,8
West Ham United,52,9,-0.34999999999999953,41.98473282442748,15,0.04506607554728001,39.3267988807069,13
Crystal Palace,49,10,-0.02499999999999968,51.908396946564885,8,0.04815727761072221,45.093107766137905,10
Brighton & Hove Albion,48,11,-0.17499999999999968,47.32824427480916,11,0.0463491708638308,41.72027681350916,11
AFC Bournemouth,48,12,-0.32499999999999973,42.74809160305343,14,0.04612147398463859,41.29553248728129,12
Fulham,47,13,-0.14999999999999966,48.091603053435115,10,0.04877570348885617,46.246715509299605,9
Wolverhampton Wanderers,46,14,-0.37499999999999967,41.221374045801525,16,0.04381635867547711,36.995584888786354,15
Brentford,39,16,-0.2249999999999997,45.80152671755725,12,0.04342584239435006,36.267118274326066,16
Luton Town,26,18,-0.8249999999999997,27.480916030534345,18,0.03668538174503514,23.69350537670728,18
Burnley,24,19,-0.9249999999999997,24.42748091603053,19,0.029762154859439754,10.778961491533657,19
Sheffield United,16,20,-1.7249999999999994,0.0,20,0.02398377068571329,0.0,20
